Instance MapleLcmDistChrBt MapleLcmDistChrBT-v1-r1000-lbdlim-10 MapleLcmDistChrBT-v2-r500-lbdlim-14 MapleLCMDist-v1-r1000-lbdlim-10 MapleLCMDist-v2-r500-lbdlim-14 MapleLCMDist
g2-gss-36-s100.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-gss-38-s100.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-gss-40-s100.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-6s105-k35.cnf 1276.91 1369.54 1270.47 1329.09 1408.53 1282.39 
g2-hwmcc15deep-6s161-k17.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-6s161-k18.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-6s179-k17.cnf 842.487 801.92 983.334 1158.05 1044.5 1587.77 
g2-hwmcc15deep-6s188-k44.cnf 3193.23 3481.38 3348.32 3501.03 3632.59 3327.1 
g2-hwmcc15deep-6s188-k46.cnf 1e+100 4344.14 4494.43 4839.39 1e+100 1e+100 
g2-hwmcc15deep-6s33-k33.cnf 833.388 781.346 902.237 876.464 837.437 993.6 
g2-hwmcc15deep-6s33-k34.cnf 1433.08 1283.1 1192.15 1194.63 1328.63 1492.62 
g2-hwmcc15deep-6s340rb63-k16.cnf 183.125 109.26 96.2087 114.407 81.8754 118.565 
g2-hwmcc15deep-6s340rb63-k22.cnf 2603.48 2631.3 2606.61 2644.76 2634.93 2625.57 
g2-hwmcc15deep-6s341r-k16.cnf 812.614 801.183 706.774 727.715 612.017 768.149 
g2-hwmcc15deep-6s341r-k19.cnf 1783.82 1837.55 2173.88 1883.46 1531.27 2560.31 
g2-hwmcc15deep-6s366r-k72.cnf 3534.67 3328.07 4524.15 4598.73 3423.75 3368.61 
g2-hwmcc15deep-6s399b02-k02.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-6s399b03-k02.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-6s44-k38.cnf 3027.01 2993.83 2938.0 3060.94 3264.72 2824.27 
g2-hwmcc15deep-6s44-k40.cnf 3277.62 3561.18 3482.13 3291.28 3333.17 3330.63 
g2-hwmcc15deep-6s516r-k17.cnf 2373.04 2426.68 2323.29 2607.37 2097.98 2299.53 
g2-hwmcc15deep-6s516r-k18.cnf 4060.14 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-beembkry8b1-k45.cnf 1947.24 2004.67 2470.07 2203.44 2636.55 2711.87 
g2-hwmcc15deep-beemcmbrdg7f2-k32.cnf 4349.35 4696.11 1e+100 1e+100 1e+100 4734.55 
g2-hwmcc15deep-beemfwt4b1-k48.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-beemhanoi4b1-k32.cnf 3967.09 4004.66 3678.26 3704.7 3553.77 3680.6 
g2-hwmcc15deep-beemhanoi4b1-k37.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-beemlifts3b1-k29.cnf 1523.97 1595.1 1247.98 1858.47 1575.59 1477.66 
g2-hwmcc15deep-beemloyd3b1-k31.cnf 2266.9 2497.67 2124.77 2502.91 2672.22 2613.4 
g2-hwmcc15deep-bob12s02-k16.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-bob12s02-k17.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-bobpcihm-k30.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-bobpcihm-k31.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-bobpcihm-k32.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-bobpcihm-k33.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-intel032-k84.cnf 3688.99 3968.54 3693.5 3639.16 3669.83 3432.77 
g2-hwmcc15deep-intel065-k11.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-intel066-k10.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-oski15a10b06s-k24.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-oski15a10b08s-k23.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-oski15a10b10s-k20.cnf 4969.03 1e+100 4700.48 1e+100 1e+100 1e+100 
g2-hwmcc15deep-oski15a10b10s-k22.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-hwmcc15deep-oski15a14b04s-k16.cnf 543.985 459.191 474.263 726.677 481.031 592.646 
g2-hwmcc15deep-oski15a14b30s-k24.cnf 3183.3 3216.3 3299.53 3583.22 3742.07 3826.32 
g2-mizh-md5-47-3.cnf 512.836 795.574 466.644 282.607 1332.46 701.564 
g2-mizh-md5-47-5.cnf 173.611 695.515 94.0803 429.466 106.616 94.4741 
g2-mizh-md5-48-2.cnf 1378.05 579.061 1068.84 444.503 1325.23 754.657 
g2-mizh-md5-48-5.cnf 233.751 945.041 140.174 201.819 1436.34 318.275 
g2-modgen-n200-m90860q08c40-13698.cnf 213.902 185.435 594.686 726.001 494.981 101.967 
g2-modgen-n200-m90860q08c40-16823.cnf 186.76 137.217 148.031 400.344 121.239 139.75 
g2-modgen-n200-m90860q08c40-29667.cnf 750.056 1244.87 1170.17 1e+100 1e+100 1e+100 
g2-modgen-n200-m90860q08c40-3230.cnf 1e+100 1e+100 2039.77 1e+100 3277.7 2512.69 
g2-modgen-n200-m90860q08c40-6967.cnf 1e+100 1079.82 1e+100 1e+100 1e+100 184.333 
g2-mult1.c.50.smt2-cvc4.cnf 85.1017 102.411 87.9034 103.975 100.317 112.21 
g2-newton.8.3.i.smt2-cvc4.cnf 111.515 145.979 116.087 114.176 87.9812 140.883 
g2-slp-synthesis-aes-top24.cnf 1e+100 1e+100 1e+100 1e+100 280.573 1e+100 
g2-slp-synthesis-aes-top25.cnf 2046.8 1664.83 1e+100 1e+100 1e+100 1e+100 
g2-slp-synthesis-aes-top26.cnf 1051.81 1e+100 1e+100 2080.99 823.266 631.077 
g2-slp-synthesis-aes-top28.cnf 1e+100 1550.37 466.4 1513.83 1422.59 2293.18 
g2-slp-synthesis-aes-top29.cnf 454.526 311.875 843.543 496.551 1708.47 853.409 
g2-slp-synthesis-aes-top30.cnf 175.346 575.713 543.333 242.292 213.75 214.284 
g2-test-v5-r10-vr10-c1-s21502.smt2-cvc4.cnf 529.981 665.37 442.062 669.192 668.472 660.871 
g2-test-v7-r7-vr5-c1-s14675.smt2-cvc4.cnf 36.7309 56.1032 44.804 92.6834 76.4448 96.9659 
mp1-21.0.cnf 39.5905 78.4521 28.7092 102.01 71.8624 26.585 
mp1-21.1.cnf 55.0604 73.9111 90.6518 63.144 168.412 49.7063 
mp1-21.2.cnf 50.0712 38.5615 56.8221 48.2266 47.4982 134.011 
mp1-21.3.cnf 51.512 35.51 15.9836 22.6972 7.80492 17.4401 
mp1-21.4.cnf 56.7579 40.5746 82.9139 29.2272 15.3718 136.356 
mp1-21.5.cnf 51.1792 53.2922 33.9114 63.6895 39.7968 87.5984 
mp1-21.6.cnf 34.0473 162.645 23.5535 59.5594 195.69 45.8826 
mp1-21.7.cnf 47.5875 62.3933 39.2826 25.3513 9.38998 38.3661 
mp1-21.8.cnf 71.4792 62.3315 32.9343 61.0727 24.7838 55.0321 
mp1-21.9.cnf 90.8418 41.8993 24.1964 68.8344 135.232 45.8524 
mp1-22.0.cnf 2275.64 142.651 1735.13 1252.59 1e+100 2214.98 
mp1-22.1.cnf 516.072 1926.0 1795.33 1e+100 49.4154 1e+100 
mp1-22.2.cnf 184.545 1477.18 2456.52 1535.79 1720.63 1e+100 
mp1-22.3.cnf 347.361 1e+100 1762.83 1082.53 1e+100 1e+100 
mp1-22.4.cnf 1e+100 1820.8 1e+100 34.0687 21.7694 647.272 
mp1-22.5.cnf 1e+100 432.921 1e+100 1935.5 1e+100 1e+100 
mp1-22.6.cnf 638.361 1e+100 662.383 644.04 1e+100 2115.1 
mp1-22.7.cnf 411.611 1e+100 1e+100 1608.93 1e+100 2202.74 
mp1-22.8.cnf 602.721 631.824 1e+100 678.51 1714.92 1e+100 
mp1-22.9.cnf 2453.83 1e+100 535.983 1e+100 1576.38 1505.7 
mp1-23.0.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-23.1.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-23.2.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-23.3.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-23.4.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-23.5.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-23.6.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-23.7.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-23.8.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-24.0.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-24.1.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-24.2.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-24.3.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-24.4.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-24.5.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-24.6.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-24.7.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-24.8.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-24.9.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-9-1.cnf 536.57 590.365 430.533 346.562 656.958 548.005 
mp1-9-11.cnf 55.6021 88.2988 45.3633 80.7496 103.83 19.8631 
mp1-9-12.cnf 1033.13 3850.11 2081.47 3009.82 1617.79 1040.71 
mp1-9-14.cnf 1e+100 1e+100 2585.7 4248.83 2752.99 380.485 
mp1-9-19.cnf 1e+100 1e+100 1e+100 478.284 484.46 1e+100 
mp1-9-21.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-9-22.cnf 1e+100 1e+100 1e+100 854.741 1970.81 1e+100 
mp1-9-24.cnf 1e+100 2026.07 1661.57 4170.22 2025.58 1e+100 
mp1-9-25.cnf 4733.72 1e+100 1e+100 1e+100 1e+100 4994.67 
mp1-9-27.cnf 193.434 149.325 271.123 184.956 381.776 146.123 
mp1-9-29.cnf 422.626 581.365 753.567 598.415 749.237 489.296 
mp1-9-3.cnf 83.4387 69.312 95.051 31.2529 8.38722 98.6382 
mp1-9-31.cnf 3450.41 1e+100 1e+100 181.714 322.284 3878.38 
mp1-9-34.cnf 1469.27 536.885 1020.64 1054.15 420.52 1570.07 
mp1-9-38.cnf 352.318 355.296 548.451 437.092 744.563 413.078 
mp1-9-4.cnf 1e+100 1e+100 1e+100 1e+100 2302.64 1e+100 
mp1-9-44.cnf 2639.48 1e+100 3190.67 3457.71 3078.6 3832.47 
mp1-9-49.cnf 753.204 1234.13 1968.24 1938.87 1059.58 158.33 
mp1-9-50.cnf 2692.28 4211.83 264.115 1e+100 1290.47 85.0237 
mp1-9-9.cnf 288.13 296.322 731.052 498.917 543.829 290.83 
mp1-Nb5T06.cnf 68.3199 96.3498 59.5555 84.3004 60.2589 69.1127 
mp1-Nb5T07.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
